,name,price
78,"TelefonmobilHuaweiP8Lite,DualSim,16GB,4G,Gold",829
79,"TelefonmobilAppleiPhone7,32GB,RoseGold",3.499
80,"TelefonmobilHuaweiY3II,DualSim,8GB,4G,Gold",389
81,"TelefonmobilWinkShareSE,DualSIM,8GB,Black",319
82,"TelefonmobilAppleiPhone5S,16GB,Silver",1.599
83,"TelefonmobilSamsungGalaxyA5(2016),16GB,4G,Gold",1.599
84,"TelefonmobilAppleiPhone5S,16GB,SpaceGray",1.599
85,"TelefonmobilHuaweiP9Lite,DualSim,16GB,4G,White",1.199
86,"TelefonmobilHuaweiY3II,DualSim,8GB,4G,Black",389
87,"TelefonmobilASUSZenFone3MaxZC520TL,DualSim,32GB,4G,Gray",999
88,"TelefonmobilSamsungGalaxyJ3,DualSim,8GB,4G,Black",729
89,"TelefonmobilSamsungGALAXYS7Edge,32GB,4G,Black",3.699
90,"TelefonmobilAppleiPhone7Plus,32GB,Black",4.119
91,"TelefonmobilAppleiPhone7,32GB,Gold",3.499
92,"TelefonmobilASUSZenFoneGoZB452K,DualSim,8GB,Black",419
93,"TelefonmobilSamsungGalaxyA5(2017),32GB,4G,Black",1.899
94,"TelefonmobilAppleiPhone7,128GB,Black",3.999
95,"TelefonmobilHuaweiY5II,DualSim,8GB,4G,Gold",539
96,"TelefonmobilASUSZenFoneGoZB500KL,DualSim,16GB,4G,Black",699
97,"TelefonmobilWinkGlorySE,DualSIM,8GB,Black",339
98,"TelefonmobilHuaweiP8Lite,DualSim,16GB,4G,White",829
99,"TelefonmobilAllviewX3Soul,DualSIM,32GB,Gold",1.389
100,"TelefonmobilSamsungGalaxyA5(2017),32GB,4G,Gold",1.899
101,"TelefonmobilHuaweiY6IICompact,DualSIM,16GB,4G,Black",649
102,"TelefonmobilASUSZenFone2ZE551ML,DualSim,32GB,4G,Gold",1.349
103,"TelefonmobilHuaweiY3II,DualSim,8GB,4G,White",389
104,"TelefonmobilLenovoK6,DualSIM,16GB,4G,Gray",999
105,"TelefonmobilSamsungGALAXYS7Edge,32GB,4G,Gold",3.699
106,"TelefonmobilAppleiPhone7,32GB,Silver",3.499
107,"TelefonmobilSamsungGalaxyA3(2016),16GB,4G,Black",1.199
108,"TelefonmobilSamsungGalaxyA5(2017),32GB,4G,Blue",1.899
109,"TelefonmobilUMIRomeX,DualSIM,Quad-Core,8GB,8MP,Android5.1,Gold",758
110,"TelefonmobilHuaweiP9,DualSim,32GB,4G,Blue",2.299
111,"TelefonmobilLenovoK6,DualSIM,16GB,4G,Gold",999
112,"TelefonmobilSamsungGalaxyA3(2016),16GB,4G,Gold",1.199
113,"TelefonmobiliHuntOneLove,DualSIM,4G,5.5-inchFHD,Quad-Core,3GBRAM,32GB,Android6.0,Grey(includeHusaSiliconsiFolieProtectie)",1.099
114,"TelefonmobilSamsungGalaxyA3(2017),16GB,4G,Black",1.499
115,"TelefonmobilASUSZenFone2ZE551ML,DualSim,32GB,4G,Black",1.349
116,"TelefonmobilHuaweiNova,DualSim,32GB,4G,MysticSilver",1.779
117,"TelefonmobilLenovoVibeC2Power,DualSIM,16GB,4G,Black",789
118,"TelefonmobilSamsungGalaxyJ1(2016),8GB,4G,Black",689
119,"TelefonmobilSamsungGalaxyJ3,DualSim,8GB,4G,White",729
120,"TelefonmobilCATB25,DualSIM,Black",249
121,"TelefonmobilSamsungGalaxyA3(2017),16GB,4G,Gold",1.499
122,"TelefonmobiliHuntOneLove,DualSIM,4G,5.5-inchFHD,Quad-Core,3GBRAM,32GB,Android6.0,Gold(includeHusaSiliconsiFolieProtectie)",1.099
123,"TelefonmobilAppleiPhoneSE,64GB,4G,SpaceGray",2.499
124,"TelefonmobilHuaweiNova,DualSim,32GB,4G,PrestigeGold",1.779
125,"TelefonmobilAppleiPhoneSE,64GB,4G,RoseGold",2.499
126,"TelefonmobilAppleiPhone7,128GB,RoseGold",3.999
127,"TelefonmobilAllviewP8eMagic,DualSIM,16B,4G,Gold",899
128,"TelefonmobilAppleiPhoneSE,16GB,4G,Gold",2.199
129,"TelefonmobilAllviewP6EnergyLite,DualSIM,8GB,4G,Black",599
130,"TelefonmobilBlubooMaya,DualSIM,5.5-inchHD,Quad-Core,2GBRAM,16GB,13MP,3000mAh,Android6.0,Gold",725
